Date,Price
01-01-2024,100.44655393233221
02-01-2024,99.87100190915827
03-01-2024,100.38115350814765
04-01-2024,101.95211993590145
05-01-2024,101.23830405466335
06-01-2024,102.773086278154
07-01-2024,100.74783999698332
08-01-2024,100.90130470300203
09-01-2024,101.45415766345913
10-01-2024,101.12097408501268
11-01-2024,102.15383367728863
12-01-2024,102.14598692635865
13-01-2024,101.19497706116371
14-01-2024,102.34520559252992
15-01-2024,102.87072907061129
16-01-2024,104.71335392116235
17-01-2024,105.83643877720392
18-01-2024,105.46341398981576
19-01-2024,105.35543472689899
20-01-2024,106.67247541774881
21-01-2024,106.65681338670147
22-01-2024,108.73093315968637
23-01-2024,110.86517540850882
24-01-2024,110.64257227277477
25-01-2024,109.92012756581498
26-01-2024,108.91191635420643
27-01-2024,108.03105708366644
28-01-2024,107.47804679728823
29-01-2024,107.23842956398471
30-01-2024,108.40167018500433
31-01-2024,109.09962132579368
01-02-2024,108.1247196085092
02-02-2024,109.01457598951833
03-02-2024,109.05368853540072
04-02-2024,108.1013202670217
05-02-2024,107.6866940791912
06-02-2024,108.53081368559653
07-02-2024,108.73988288371882
08-02-2024,109.55171668868161
09-02-2024,109.77592365976983
10-02-2024,110.52875532651696
11-02-2024,110.89789142554774
12-02-2024,110.74897429267466
13-02-2024,110.66110732223262
14-02-2024,110.86360938332794
15-02-2024,110.80968346678019
16-02-2024,111.81641788544621
17-02-2024,114.05651999618178
18-02-2024,113.03605724235963
19-02-2024,113.9603460197931
20-02-2024,113.83772586350189
21-02-2024,111.97496132636545
22-02-2024,112.84518551055727
23-02-2024,113.82942989495763
24-02-2024,113.1174117965603
25-02-2024,111.6711583515099
26-02-2024,111.78114080852384
27-02-2024,113.12115366640128
28-02-2024,113.49042835743573
29-02-2024,114.58928804935744
01-03-2024,113.35862303756866
02-03-2024,113.28411020714593
03-03-2024,114.57971113703609
04-03-2024,115.40871778856285
05-03-2024,116.45679163715891
06-03-2024,115.8308113146837
07-03-2024,117.14212821290096
08-03-2024,118.69661734353076
09-03-2024,118.05145921175244
10-03-2024,117.12740251366282
11-03-2024,115.38359359250256
12-03-2024,113.88868443239414
13-03-2024,112.46849205272747
14-03-2024,113.43107501428887
15-03-2024,114.63549357214993
16-03-2024,114.87099386378944
17-03-2024,116.50906469962499
18-03-2024,118.49901944327928
19-03-2024,119.22959105550412
20-03-2024,120.90490804481217
21-03-2024,119.56729279806063
22-03-2024,119.1084578186441
23-03-2024,119.83841810003177
24-03-2024,118.89887256126092
25-03-2024,118.03380053049344
26-03-2024,118.01710997477454
27-03-2024,117.7561597225901
28-03-2024,116.99630453619064
29-03-2024,116.54995184427185
30-03-2024,117.76629259555581
31-03-2024,118.51946986793148
01-04-2024,117.96202447915199
02-04-2024,118.47946903983825
03-04-2024,118.28942149218089
04-04-2024,117.55515297780896
05-04-2024,117.91390068767883
06-04-2024,117.45187301268035
07-04-2024,115.9484979120785
08-04-2024,116.03358879984167
09-04-2024,117.46908976003692
10-04-2024,117.89699310859255
11-04-2024,118.88989858063712
12-04-2024,117.8442517039552
13-04-2024,119.3463613281209
14-04-2024,120.39441463884214
15-04-2024,119.8969289346978
16-04-2024,120.83653655396834
17-04-2024,120.96473957799152
18-04-2024,121.87772457051352
19-04-2024,120.36995263787533
20-04-2024,119.06886833777045
21-04-2024,118.48892043007851
22-04-2024,120.00467879083178
23-04-2024,119.22336462209401
24-04-2024,120.25843946075739
25-04-2024,121.29171878417667
26-04-2024,121.88787495466289
27-04-2024,120.46665037269189
28-04-2024,121.01175679392573
29-04-2024,120.60202733956905
